Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
84;[128, 256];16;0.99;0.0001;200;0;1.6309999999999998;0.26799461022772664
85;[128, 256];16;0.99;0.0001;2000;0;1.832;0.3709761897121341
86;[128, 256];16;0.99;0.0001;20000;0;1.5719999999999998;0.4255075400820374
87;[128, 256];16;0.99;0.001;200;0;1.9119999999999997;0.3148032895493805
88;[128, 256];16;0.99;0.001;2000;0;1.8074999999999999;0.3726276813239844
89;[128, 256];16;0.99;0.001;20000;0;1.9200000000000004;0.3074175589577725
90;[128, 256];16;0.99;0.01;200;0;1.7815;0.3882013366511993
91;[128, 256];16;0.99;0.01;2000;0;1.9400000000000002;0.2957288547902547
92;[128, 256];16;0.99;0.01;20000;0;1.9125;0.3886961824127196
93;[128, 256];16;0.99;0.1;200;0;1.9364999999999999;0.40842549980245957
94;[128, 256];16;0.99;0.1;2000;0;1.8664999999999998;0.22100842115680167
95;[128, 256];16;0.99;0.1;20000;0;1.9164999999999999;0.32690510005878526
96;[128, 256];32;0.9;0.0001;200;0;1.7715;0.3311096662906583
97;[128, 256];32;0.9;0.0001;2000;0;1.889;0.2601260378269649
98;[128, 256];32;0.9;0.0001;20000;0;1.734;0.2034671690688424
99;[128, 256];32;0.9;0.001;200;0;1.9380000000000002;0.2029531965749739
100;[128, 256];32;0.9;0.001;2000;0;1.8040000000000003;0.31312759202741763
101;[128, 256];32;0.9;0.001;20000;0;1.8504999999999998;0.31163056831946234
102;[128, 256];32;0.9;0.01;200;0;1.8355000000000001;0.3787439035079567
103;[128, 256];32;0.9;0.01;2000;0;1.859;0.29324619917968814
104;[128, 256];32;0.9;0.01;20000;0;1.8335000000000001;0.42167028983950644
105;[128, 256];32;0.9;0.1;200;0;1.784;0.37160911363061777
106;[128, 256];32;0.9;0.1;2000;0;1.6445;0.30293426129552703
107;[128, 256];32;0.9;0.1;20000;0;1.8030000000000004;0.45817997434293095
108;[128, 256];32;0.99;0.0001;200;0;1.6595;0.24622088096305364
109;[128, 256];32;0.99;0.0001;2000;0;1.8800000000000001;0.29451466667873927
110;[128, 256];32;0.99;0.0001;20000;0;1.94;0.2101718873261175
111;[128, 256];32;0.99;0.001;200;0;1.8880000000000003;0.43395596294759886
112;[128, 256];32;0.99;0.001;2000;0;1.9020000000000004;0.25308320985618754
113;[128, 256];32;0.99;0.001;20000;0;1.8980000000000001;0.3803886900994239
114;[128, 256];32;0.99;0.01;200;0;1.8215;0.23056753650262404
115;[128, 256];32;0.99;0.01;2000;0;1.8870000000000005;0.315684441597407
116;[128, 256];32;0.99;0.01;20000;0;1.8775000000000002;0.35823060542989166
117;[128, 256];32;0.99;0.1;200;0;1.8015;0.23056753650262413
118;[128, 256];32;0.99;0.1;2000;0;1.8145;0.27133875915950934
119;[128, 256];32;0.99;0.1;20000;0;1.9945;0.39576543277271925
120;[128, 256];64;0.9;0.0001;200;0;1.9899999999999998;0.35048379261941476
121;[128, 256];64;0.9;0.0001;2000;0;1.9649999999999999;0.31458084987982204
122;[128, 256];64;0.9;0.0001;20000;0;1.6875;0.27401591600164804
123;[128, 256];64;0.9;0.001;200;0;1.614;0.3556824426366868
124;[128, 256];64;0.9;0.001;2000;0;1.8364999999999998;0.4324481343339208
125;[128, 256];64;0.9;0.001;20000;0;1.9215;0.5319254855919411
126;[128, 256];64;0.9;0.01;200;0;1.7774999999999999;0.2609517835412001
127;[128, 256];64;0.9;0.01;2000;0;1.7909999999999997;0.36100015389347284
128;[128, 256];64;0.9;0.01;20000;0;1.6975000000000002;0.24119206270337984
129;[128, 256];64;0.9;0.1;200;0;1.9035000000000004;0.4022509581509202
130;[128, 256];64;0.9;0.1;2000;0;1.735;0.3181718613160714
131;[128, 256];64;0.9;0.1;20000;0;1.9765000000000004;0.39668802463508884
132;[128, 256];64;0.99;0.0001;200;0;1.922;0.2633987260578321
133;[128, 256];64;0.99;0.0001;2000;0;1.7890000000000001;0.3737631454395804
134;[128, 256];64;0.99;0.0001;20000;0;1.7545000000000002;0.2707340843788319
135;[128, 256];64;0.99;0.001;200;0;1.9244999999999997;0.26155995701007273
136;[128, 256];64;0.99;0.001;2000;0;1.6939999999999997;0.28097844915382547
137;[128, 256];64;0.99;0.001;20000;0;1.8305;0.23042774234984043
138;[128, 256];64;0.99;0.01;200;0;1.8755;0.24244644311224237
139;[128, 256];64;0.99;0.01;2000;0;1.621;0.33476193863035797
140;[128, 256];64;0.99;0.01;20000;0;1.6795000000000002;0.2667338457047483
141;[128, 256];64;0.99;0.1;200;0;1.8295000000000001;0.4556646549577636
142;[128, 256];64;0.99;0.1;2000;0;1.8850000000000002;0.33958307770951524
143;[128, 256];64;0.99;0.1;20000;0;1.8035;0.4582699956236376
144;[128, 128, 128];16;0.9;0.0001;200;0;1.809;0.5057821226136365
145;[128, 128, 128];16;0.9;0.0001;2000;0;1.7614999999999998;0.34678723864768857
146;[128, 128, 128];16;0.9;0.0001;20000;0;1.7690000000000001;0.3266819724305446
147;[128, 128, 128];16;0.9;0.001;200;0;1.9395000000000002;0.18534427425739378
