Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
0;[128, 128, 128];64;0.99;0.1;2000;0;0.9599999999999997;0.264921371982959
1;[128, 128, 128];64;0.99;0.1;2000;1;1.2605;0.35182421431416255
2;[128, 128, 128];64;0.99;0.1;2000;2;0.6815000000000001;0.2851710013307805
3;[128, 128, 128];64;0.99;0.1;2000;3;0.723;0.202157804147596
