Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
71;[128, 128];64;0.99;0.1;20000;0;0.8105000000000002;0.34683049013731315
72;[128, 256];16;0.9;0.0001;200;0;0.7635;0.16411462796201653
73;[128, 256];16;0.9;0.0001;2000;0;0.7885;0.3022696551829913
74;[128, 256];16;0.9;0.0001;20000;0;0.7305;0.33149870118733327
75;[128, 256];16;0.9;0.001;200;0;0.8370000000000001;0.23381141498604763
76;[128, 256];16;0.9;0.001;2000;0;0.8645000000000002;0.24474987231865925
77;[128, 256];16;0.9;0.001;20000;0;0.842;0.301175474875805
78;[128, 256];16;0.9;0.01;200;0;0.699;0.2637212332916879
79;[128, 256];16;0.9;0.01;2000;0;0.7234999999999999;0.38144498656789
80;[128, 256];16;0.9;0.01;20000;0;0.791;0.2636580276713675
81;[128, 256];16;0.9;0.1;200;0;0.8225000000000001;0.24105382063855457
82;[128, 256];16;0.9;0.1;2000;0;0.861;0.23709819812802363
83;[128, 256];16;0.9;0.1;20000;0;0.7905;0.3941266716847939
84;[128, 256];16;0.99;0.0001;200;0;0.6699999999999999;0.2795234039098217
85;[128, 256];16;0.99;0.0001;2000;0;0.7719999999999999;0.24384876916281992
86;[128, 256];16;0.99;0.0001;20000;0;0.751;0.23120217223124104
87;[128, 256];16;0.99;0.001;200;0;0.7125;0.21556450439614486
88;[128, 256];16;0.99;0.001;2000;0;0.8385;0.12218042214510291
89;[128, 256];16;0.99;0.001;20000;0;0.899;0.19046434486975944
90;[128, 256];16;0.99;0.01;200;0;0.8195;0.2994388269932794
91;[128, 256];16;0.99;0.01;2000;0;0.7795;0.23893804403838434
92;[128, 256];16;0.99;0.01;20000;0;0.8435;0.16477341344336402
93;[128, 256];16;0.99;0.1;200;0;0.7939999999999999;0.3748021700399648
94;[128, 256];16;0.99;0.1;2000;0;0.7799999999999999;0.2488305983328149
95;[128, 256];16;0.99;0.1;20000;0;0.826;0.18922062372913911
96;[128, 256];32;0.9;0.0001;200;0;0.8205;0.19586630928036378
97;[128, 256];32;0.9;0.0001;2000;0;0.757;0.39242975309106104
98;[128, 256];32;0.9;0.0001;20000;0;0.6260000000000001;0.20885667600321306
99;[128, 256];32;0.9;0.001;200;0;0.799;0.319129023019426
100;[128, 256];32;0.9;0.001;2000;0;0.761;0.2599764946639941
101;[128, 256];32;0.9;0.001;20000;0;0.7545000000000001;0.30901681004257503
102;[128, 256];32;0.9;0.01;200;0;0.722;0.21175457492106278
103;[128, 256];32;0.9;0.01;2000;0;0.741;0.2630145750080529
104;[128, 256];32;0.9;0.01;20000;0;0.825;0.30608640755330657
105;[128, 256];32;0.9;0.1;200;0;0.8205;0.20867904649112337
106;[128, 256];32;0.9;0.1;2000;0;0.7409999999999999;0.1766320720845704
107;[128, 256];32;0.9;0.1;20000;0;0.7315;0.3375734487979369
108;[128, 256];32;0.99;0.0001;200;0;0.7845;0.30774673930938007
109;[128, 256];32;0.99;0.0001;2000;0;0.8390000000000001;0.17590717248973486
110;[128, 256];32;0.99;0.0001;20000;0;0.6345;0.2283813818058634
111;[128, 256];32;0.99;0.001;200;0;0.635;0.2451983324213732
