Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
0;[128, 128];64;0.99;0.001;2000;0;2.057;0.2580396179745359
1;[128, 128];64;0.99;0.001;2000;1;2.8699999999999997;0.4645547450097901
2;[128, 128];64;0.99;0.001;2000;2;1.8054999999999999;0.43325287714631
3;[128, 128];64;0.99;0.001;2000;3;1.7129999999999999;0.27606561216895925
